time,open,high,low,close,rsi
1702231500000,1.35672,1.35677,1.35672,1.35677,0.0
1702231800000,1.35707,1.35853,1.35707,1.35853,0.0
1702232100000,1.35873,1.35873,1.35873,1.35873,0.0
1702232400000,1.35775,1.35904,1.35775,1.35904,0.0
1702232700000,1.35803,1.35803,1.35803,1.35803,71.78770949720729
1702233000000,1.35778,1.35778,1.35778,1.35778,67.1018276762392
1702233300000,1.35773,1.35773,1.35773,1.35773,66.23711340206285
1702233600000,1.35773,1.35773,1.35773,1.35773,66.23711340206285
1702233900000,1.35792,1.35794,1.35792,1.35794,67.97066014669886
1702234500000,1.35792,1.35792,1.35792,1.35792,67.63990267640008
1702235400000,1.35773,1.35773,1.35773,1.35773,64.65116279069974
1702236000000,1.35792,1.35792,1.35792,1.35792,66.146993318487
1702236600000,1.35792,1.35792,1.35792,1.35792,66.146993318487
1702236900000,1.35773,1.35773,1.35773,1.35773,63.46153846154075
1702237200000,1.35792,1.35792,1.35792,1.35792,62.582056892780756
1702238400000,1.35773,1.3582,1.35773,1.3582,44.66019417475714
1702238700000,1.35816,1.35816,1.35816,1.35816,40.27303754266093
1702239000000,1.358,1.358,1.358,1.358,31.29496402877379
1702239600000,1.35801,1.35801,1.35801,1.35801,49.438202247187085
1702239900000,1.358,1.358,1.358,1.358,57.142857142865374
1702240500000,1.35801,1.35801,1.35799,1.35799,58.66666666666903
1702241400000,1.35801,1.35801,1.35801,1.35801,59.210526315789664
1702242000000,1.35774,1.35799,1.35774,1.35792,49.28571428571712
1702242300000,1.35792,1.35797,1.35774,1.35797,51.748251748248705
1702242600000,1.35781,1.35797,1.35777,1.35781,52.85714285713946
1702242900000,1.35797,1.35797,1.35777,1.35777,43.999999999992895
1702243200000,1.35801,1.35815,1.3577,1.35782,46.15384615384484
1702243500000,1.35817,1.35817,1.3577,1.35782,54.05405405405243
1702243800000,1.35782,1.3579,1.35782,1.35782,44.56521739130251
1702244100000,1.35782,1.358,1.35767,1.358,37.80487804877587
1702244400000,1.35792,1.35821,1.35767,1.35821,52.52525252524822
1702245000000,1.35774,1.35821,1.35774,1.35821,62.6506024096363
1702245300000,1.35763,1.3579,1.35763,1.3579,45.13274336283673
1702245600000,1.3579,1.35794,1.35768,1.35777,40.799999999991186
1702245900000,1.35794,1.35853,1.35778,1.35846,62.17616580310953
1702246200000,1.35845,1.35854,1.35792,1.35831,57.28155339805762
1702246500000,1.35852,1.35852,1.35799,1.35838,61.27450980391901
1702246800000,1.35839,1.35851,1.35801,1.3584,60.696517412937574
1702247100000,1.35845,1.35851,1.35831,1.35844,66.66666666666666
1702247400000,1.35853,1.35866,1.35837,1.35865,71.35922330096889
1702247700000,1.35864,1.35869,1.35837,1.35863,69.95073891625583
1702248000000,1.35864,1.35864,1.35828,1.35828,59.66386554621629
1702248300000,1.35856,1.35856,1.35799,1.35799,53.183520599251054
1702248600000,1.35798,1.35848,1.35798,1.35821,53.87453874538449
1702248900000,1.35824,1.35845,1.35789,1.35799,45.955882352943014
1702249200000,1.3582,1.35865,1.35809,1.35824,50.50505050505013
1702249500000,1.35823,1.35823,1.35796,1.35799,51.54639175257614
1702249800000,1.35806,1.35825,1.35798,1.35825,57.894736842107186
1702250100000,1.35821,1.35834,1.35814,1.3583,46.66666666666728
1702250400000,1.35831,1.35832,1.35792,1.35797,43.41085271317709
1702250700000,1.35797,1.35816,1.35792,1.35813,45.31835205992721
1702251000000,1.35815,1.35836,1.35812,1.35834,48.951048951049714
1702251300000,1.35833,1.35835,1.35804,1.35824,46.57534246574978
1702251600000,1.35825,1.35841,1.35816,1.35835,44.68085106383045
1702251900000,1.35836,1.35848,1.35834,1.35843,46.52777777777842
1702252200000,1.35844,1.35854,1.35843,1.3585,54.23076923077107
1702252500000,1.35848,1.3585,1.35808,1.35808,51.64835164835003
1702252800000,1.35809,1.35834,1.35784,1.35827,51.11111111111403
1702253100000,1.35823,1.35844,1.35816,1.35836,57.19844357976442
1702253400000,1.35837,1.35843,1.35816,1.3582,49.19354838710068
